TeamID,EventID
90,4085
1,4086
7,4086
29,4086
43,4086
45,4086
73,4086
90,4086
119,4086
1,2606
4,2606
6,2606
15,2606
16,2606
21,2606
29,2606
43,2606
45,2606
47,2606
102,2606
143,2606
193,2606
242,2606
1,4508
2,4508
4,4508
7,4508
20,4508
29,4508
43,4508
45,4508
47,4508
143,4508
1,246
13,246
16,246
21,246
29,246
45,246
52,246
74,246
77,246
242,246
1,3196
7,3196
9,3196
12,3196
20,3196
23,3196
24,3196
26,3196
29,3196
43,3196
47,3196
52,3196
60,3196
84,3196
102,3196
103,3196
104,3196
139,3196
143,3196
257,3196
1,976
9,976
16,976
20,976
22,976
23,976
29,976
33,976
34,976
47,976
58,976
60,976
65,976
77,976
90,976
115,976
143,976
151,976
188,976
198,976
242,976
1,1317
4,1317
7,1317
9,1317
12,1317
15,1317
16,1317
18,1317
22,1317
23,1317
26,1317
28,1317
29,1317
33,1317
43,1317
48,1317
58,1317
60,1317
70,1317
74,1317
86,1317
94,1317
96,1317
99,1317
101,1317
103,1317
107,1317
117,1317
128,1317
150,1317
187,1317
188,1317
198,1317
242,1317
427,1317
1,1010
2,1010
4,1010
5,1010
6,1010
7,1010
8,1010
9,1010
12,1010
16,1010
20,1010
21,1010
23,1010
24,1010
26,1010
27,1010
28,1010
29,1010
32,1010
36,1010
41,1010
42,1010
43,1010
45,1010
46,1010
47,1010
48,1010
54,1010
55,1010
69,1010
74,1010
77,1010
83,1010
84,1010
90,1010
102,1010
103,1010
104,1010
115,1010
118,1010
135,1010
142,1010
143,1010
153,1010
171,1010
182,1010
188,1010
196,1010
205,1010
207,1010
216,1010
235,1010
242,1010
270,1010
294,1010
297,1010
1,300
5,300
6,300
7,300
9,300
12,300
13,300
16,300
20,300
22,300
23,300
28,300
29,300
31,300
32,300
37,300
43,300
47,300
58,300
60,300
71,300
74,300
76,300
81,300
90,300
96,300
100,300
109,300
135,300
143,300
149,300
195,300
204,300
242,300
257,300
323,300
333,300
1,3773
6,3773
7,3773
9,3773
12,3773
13,3773
14,3773
15,3773
16,3773
20,3773
22,3773
23,3773
29,3773
32,3773
34,3773
43,3773
47,3773
58,3773
60,3773
70,3773
74,3773
81,3773
85,3773
86,3773
106,3773
109,3773
135,3773
143,3773
149,3773
167,3773
195,3773
242,3773
257,3773
1,4763
2,4763
6,4763
9,4763
13,4763
15,4763
16,4763
20,4763
22,4763
23,4763
29,4763
32,4763
36,4763
43,4763
47,4763
58,4763
60,4763
74,4763
76,4763
77,4763
81,4763
85,4763
102,4763
106,4763
135,4763
143,4763
149,4763
167,4763
195,4763
242,4763
257,4763
1,2726
9,2726
12,2726
15,2726
18,2726
20,2726
22,2726
23,2726
24,2726
29,2726
32,2726
43,2726
47,2726
58,2726
74,2726
76,2726
99,2726
106,2726
107,2726
115,2726
134,2726
143,2726
149,2726
174,2726
242,2726
257,2726
1,1414
20,1414
22,1414
28,1414
29,1414
43,1414
90,1414
143,1414
1,3744
9,3744
13,3744
16,3744
20,3744
28,3744
29,3744
42,3744
43,3744
45,3744
46,3744
47,3744
74,3744
77,3744
90,3744
107,3744
128,3744
135,3744
143,3744
242,3744
1,4901
16,4901
20,4901
28,4901
29,4901
43,4901
77,4901
90,4901
1,3521
2,3521
4,3521
9,3521
12,3521
16,3521
20,3521
27,3521
29,3521
32,3521
40,3521
43,3521
45,3521
47,3521
74,3521
90,3521
100,3521
102,3521
106,3521
111,3521
188,3521
189,3521
195,3521
216,3521
554,3521
1,3972
9,3972
12,3972
13,3972
16,3972
20,3972
22,3972
23,3972
27,3972
28,3972
29,3972
32,3972
43,3972
45,3972
74,3972
90,3972
96,3972
139,3972
143,3972
193,3972
242,3972
257,3972
1,4381
9,4381
13,4381
16,4381
20,4381
23,4381
27,4381
28,4381
29,4381
32,4381
43,4381
46,4381
47,4381
58,4381
74,4381
90,4381
96,4381
135,4381
139,4381
143,4381
189,4381
193,4381
242,4381
257,4381
1,4341
9,4341
13,4341
15,4341
16,4341
20,4341
21,4341
22,4341
28,4341
29,4341
32,4341
43,4341
46,4341
47,4341
58,4341
74,4341
77,4341
90,4341
96,4341
139,4341
143,4341
189,4341
193,4341
242,4341
257,4341
1,142
2,142
4,142
5,142
8,142
9,142
13,142
24,142
29,142
32,142
43,142
